韻母	聲母	聲調	字頭	異體	安澄饒揭潮	附加語音特徵
亞	null	1	亞			
			丫			
			椏			
			鴉			
			氬			
			錒			
			阿			
		2	掗			
		3	婭			
			亞			
			埡			
		4	鴨			
			押			
		6	嗄			
		7	阿			
	b	1	巴			
			叭			
			疤			
			扒			
			芭			
			葩			
			豝			
			鈀			
			粑			
			爸			
		2	把			
			靶			
			飽			
			欛			
		3	壩			
			灞			
			霸			
			豹			
			趵			
		6	罷			
		7	吧			
	p	1	脬			
			趴			
		4	啪			
			打			
			拍			
		6	泡			
	d	2	打			
			咑			
		4	搭			
			遢			
			褡			
			耷			
			䐛			
		5	禾			
		8	踏			
			遝			
			沓			
	t	1	他			
			它			
			她			
			鉈			
			怹			
		4	趿			
			塔			
		8	疊			
	l	1	剌			
			喇			
			啦			
			嘞			
			垃			
			拉			
			旯			
			鞡			
		4	瘌			
			擸			
			邋			
		5	朥			
		8	鬣			
			獵			
			蠟			
			躐			
			臘			
			辣			
			鑞			
	g	1	膠			
			虼			
		2	絞			
			鉸			
		3	教			
			校			
			窖			
			較			
			玍			
			尕			
		4	甲			
			岬			
			胛			
			鉀			
		6	咬			
		7	咬			
	k	1	腳			
		2	巧			
			豈			
			卡			
			咔			
			佧			
		3	扣	釦		
			叩			
	h	1	哈			
		3	孝			
		4	哈			
			餄			
			瓣			
		8	合			
			鉿			
	z	1	咱			
			咤	吒		
			嗟			
			喳			
			揸			
			槎	茬		
			查			
			楂			
			猹			
			侘			
			碴			
			渣			
			溠			
			瘥			
			皻	齇		
			餷			
			蹉			
			髽			
		2	蚤			
			早			
			昔			
			昨			
			痄			
		3	乍			
			咋			
			怍			
			怎			
			榨	搾		
			窄			
			炸			
			柞			
			蚱			
			砟			
			詐			
			鮓			
		4	𠷿			
		8	卡			
			柵			
			炸			
			閘			
	c	1	差			
			岔			
			嵯			
			搓			
			叉			
			衩			
			杈			
			䟕			
			汊			
		2	炒			
		3	詫			
			蹅			
			礤			
			姹	奼		
			仛			
		4	插			
			歃			
			臿			
			鍤			
		5	柴			
			垞			
	s	1	沙			
			筲			
			莎			
		3	撒			
		6	傻			
			啥			
窩	null	1	窩			
			噢			
			啊			
			婀			
			媧			
			渦			
			呵	訶		
			萵			
			屙			
			阿			
			倭			
		2	襖			
		3	澳		11110	
			澳		00001	鼻
			奧		11110	
			奧		00001	鼻
			懊		11110	
			懊		00001	鼻
			隩		11110	
			隩		00001	鼻
			嶴		11110	
			嶴		00001	鼻
			圫			
		4	呃			
		5	菏			
			蚝			
			荷		11110	
		6	臥		11110	
			臥		00001	鼻
			荷			
			嚄			
		7	哦			
			喔			
	b	1	波			
			嶓			
			坡			
			玻			
			啵			
			菠			
			陂			
		2	保			
			寶			
		3	報			
		4	舶			
			駁			
		5	婆			
		7	薄			
		8	泊			
			礴			
			薄			
			鉑			
			箔			
	p	2	叵			
			跛		11000	
			鉕			
